URL	
https://www.apartments.com/181-washington-st-boston-ma-unit-fl1-id434/9zrm607/	"""https://www.apartments.com/181-washington-st-boston-ma-unit-fl1-id434/9zrm607/"","
https://www.apartments.com/181-washington-st-boston-ma-unit-fl1-id435/m6wlgqj/	"""https://www.apartments.com/181-washington-st-boston-ma-unit-fl1-id435/m6wlgqj/"","
https://www.apartments.com/181-washington-st-boston-ma-unit-fl1-id436/8gz1lg1/	"""https://www.apartments.com/181-washington-st-boston-ma-unit-fl1-id436/8gz1lg1/"","
https://www.apartments.com/181-washington-st-boston-ma-unit-fl4-id431/5tete6n/	"""https://www.apartments.com/181-washington-st-boston-ma-unit-fl4-id431/5tete6n/"","
https://www.apartments.com/181-washington-st-boston-ma-unit-fl4-id433/b2g55v9/	"""https://www.apartments.com/181-washington-st-boston-ma-unit-fl4-id433/b2g55v9/"","
https://www.apartments.com/185-chestnut-hill-ave-boston-ma-unit-61329084/dhcjpwh/	"""https://www.apartments.com/185-chestnut-hill-ave-boston-ma-unit-61329084/dhcjpwh/"","
https://www.apartments.com/191-bunker-hill-st-boston-ma-unit-apt-306/f32p8jv/	"""https://www.apartments.com/191-bunker-hill-st-boston-ma-unit-apt-306/f32p8jv/"","
https://www.apartments.com/1943-dot-ave-dorchester-ma/cmdc3xf/	"""https://www.apartments.com/1943-dot-ave-dorchester-ma/cmdc3xf/"","
https://www.apartments.com/1945-commonwealth-ave-boston-ma-unit-471301195/wfm23ch/	"""https://www.apartments.com/1945-commonwealth-ave-boston-ma-unit-471301195/wfm23ch/"","
https://www.apartments.com/199-massachusetts-ave-boston-ma-unit-fl2-id289/5s4zt9m/	"""https://www.apartments.com/199-massachusetts-ave-boston-ma-unit-fl2-id289/5s4zt9m/"","
https://www.apartments.com/2-leighton-st-cambridge-ma-unit-fl2-id635/l8wjd9f/	"""https://www.apartments.com/2-leighton-st-cambridge-ma-unit-fl2-id635/l8wjd9f/"","
https://www.apartments.com/20-sanford-st-boston-ma/jkwyph5/	"""https://www.apartments.com/20-sanford-st-boston-ma/jkwyph5/"","
https://www.apartments.com/201-sherman-rd-boston-college-ma/3ml00pf/	"""https://www.apartments.com/201-sherman-rd-boston-college-ma/3ml00pf/"","
https://www.apartments.com/202-stuart-st-boston-ma/8mgc212/	"""https://www.apartments.com/202-stuart-st-boston-ma/8mgc212/"","
https://www.apartments.com/203-dana-ave-boston-ma/fd5vypv/	"""https://www.apartments.com/203-dana-ave-boston-ma/fd5vypv/"","
https://www.apartments.com/204-h-st-boston-ma-unit-2/gqq7mty/	"""https://www.apartments.com/204-h-st-boston-ma-unit-2/gqq7mty/"","
https://www.apartments.com/211-green-st-jamaica-plain-ma/rkj3l20/	"""https://www.apartments.com/211-green-st-jamaica-plain-ma/rkj3l20/"","
https://www.apartments.com/211-w-springfield-st-boston-ma-unit-fl3-id583/f37n75t/	"""https://www.apartments.com/211-w-springfield-st-boston-ma-unit-fl3-id583/f37n75t/"","
https://www.apartments.com/211-w-springfield-st-boston-ma-unit-fl4-id582/qgqpc9z/	"""https://www.apartments.com/211-w-springfield-st-boston-ma-unit-fl4-id582/qgqpc9z/"","
https://www.apartments.com/212-stuart-boston-ma/fme6gft/	"""https://www.apartments.com/212-stuart-boston-ma/fme6gft/"","
https://www.apartments.com/212-stuart-st-boston-ma-unit-fl3-id842/2vys2dc/	"""https://www.apartments.com/212-stuart-st-boston-ma-unit-fl3-id842/2vys2dc/"","
https://www.apartments.com/22-fleet-st-boston-ma/m49lcjl/	"""https://www.apartments.com/22-fleet-st-boston-ma/m49lcjl/"","
https://www.apartments.com/22-hancock-st-boston-ma-unit-1021329085/vs3ntqd/	"""https://www.apartments.com/22-hancock-st-boston-ma-unit-1021329085/vs3ntqd/"","
https://www.apartments.com/221-massachusetts-ave-boston-ma-unit-fl8-id648/7b7y6zw/	"""https://www.apartments.com/221-massachusetts-ave-boston-ma-unit-fl8-id648/7b7y6zw/"","
https://www.apartments.com/226-newbury-st-boston-ma-unit-fl2-id724/hhs6l61/	"""https://www.apartments.com/226-newbury-st-boston-ma-unit-fl2-id724/hhs6l61/"","
https://www.apartments.com/233-hancock-st-boston-ma-unit-fl4-id623/1yff1k6/	"""https://www.apartments.com/233-hancock-st-boston-ma-unit-fl4-id623/1yff1k6/"","
https://www.apartments.com/241-e-st-boston-ma-unit-fl2-id455/2xr04p9/	"""https://www.apartments.com/241-e-st-boston-ma-unit-fl2-id455/2xr04p9/"","
https://www.apartments.com/241-perkins-st-boston-ma/71xbxty/	"""https://www.apartments.com/241-perkins-st-boston-ma/71xbxty/"","
https://www.apartments.com/247-savin-hill-ave-boston-ma-unit-31301200/f26hq6v/	"""https://www.apartments.com/247-savin-hill-ave-boston-ma-unit-31301200/f26hq6v/"","
https://www.apartments.com/25-firth-rd-boston-ma-unit-2/138ln16/	"""https://www.apartments.com/25-firth-rd-boston-ma-unit-2/138ln16/"","
https://www.apartments.com/250-centre-boston-ma/wc5s12j/	"""https://www.apartments.com/250-centre-boston-ma/wc5s12j/"","
https://www.apartments.com/26-chelsea-boston-ma/hq8s5c3/	"""https://www.apartments.com/26-chelsea-boston-ma/hq8s5c3/"","
https://www.apartments.com/26-w-broadway-boston-ma-unit-fl6-id580/9cv92q4/	"""https://www.apartments.com/26-w-broadway-boston-ma-unit-fl6-id580/9cv92q4/"","
https://www.apartments.com/270-babcock-st-boston-ma-unit-fl1-id823/y7kk7qs/	"""https://www.apartments.com/270-babcock-st-boston-ma-unit-fl1-id823/y7kk7qs/"","
